id	primary_sgdid	systematic_name	common_name	common_name_explanation	aliases	description
11	S000000011	YAL013W	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis	FUN54|Rpd3L histone deacetylase complex subunit DEP1	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
12	S000000012	YAL014C	SYN8	SYNtaxin	SLT2|syntaxin|UIP2	Endosomal SNARE related to mammalian syntaxin 8
13	S000000013	YAL015C	NTG1	eNdonuclease Three-like Glycosylase	bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
14	S000000014	YAL016W	TPD3	tRNA Processing Deficient	FUN32|protein phosphatase 2A structural subunit TPD3	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
15	S000000015	YAL017W	PSK1	Pas domain-containing Serine/threonine protein Kinase	FUN31|serine/threonine protein kinase PSK1	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
16	S000000016	YAL018C	LDS1	Lipid Droplets in Sporulation		Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
17	S000000017	YAL019W	FUN30	Function Unknown Now	DNA-dependent ATPase FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
18	S000000018	YAL020C	ATS1	Alpha Tubulin Suppressor	FUN28|KTI13	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
19	S000000019	YAL021C	CCR4	Carbon Catabolite Repression	CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
20	S000000020	YAL022C	FUN26	Function Unknown Now	nucleoside transmembrane transporter FUN26	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
21	S000000021	YAL023C	PMT2	Protein O-MannosylTransferase	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
22	S000000022	YAL024C	LTE1	Low Temperature Essential	mitotic regulator LTE1|MSI2	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
23	S000000023	YAL025C	MAK16	MAintenance of Killer	ribosome biosynthesis protein MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
24	S000000024	YAL026C	DRS2	Deficiency of Ribosomal Subunits	aminophospholipid-translocating P4-type ATPase DRS2|FUN38|SWA3	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease
25	S000000025	YAL027W	SAW1	Single-strand Annealing Weakened	DNA-binding protein SAW1	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
26	S000000026	YAL028W	FRT2	Functionally Related to TCP1	HPH2	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
27	S000000027	YAL029C	MYO4	MYOsin	FUN22|myosin 4|SHE1	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
28	S000000028	YAL030W	SNC1	Suppressor of the Null allele of CAP	SNAP receptor SNC1	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
29	S000000029	YAL031C	GIP4	Glc7 Interacting Protein	FUN21|protein phosphatase regulator GIP4	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
30	S000000030	YAL032C	PRP45	Pre-mRNA Processing	FUN20|mRNA splicing protein PRP45	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
31	S000000031	YAL033W	POP5	Processing Of Precursor RNAs	FUN53|RNA-binding protein POP5	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
32	S000000032	YAL034W-A	MTW1	Mis TWelve-like	DSN3|MIND complex subunit MTW1|NSL2	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
33	S000000033	YAL035W	FUN12	Function Unknown Now	eIF5B|translation initiation factor eIF5B|yIF2	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
34	S000000034	YAL036C	RBG1	RiBosome interacting Gtpase	FUN11|GTP-binding protein RBG1	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
35	S000000035	YAL037W				Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
36	S000000036	YAL038W	CDC19	Cell Division Cycle	PYK1|pyruvate kinase CDC19	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
37	S000000037	YAL039C	CYC3	CYtochrome C	CCHL|holocytochrome c synthase CYC3	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant
38	S000000038	YAL040C	CLN3	CycLiN	cyclin CLN3|DAF1|FUN10|WHI1	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1
39	S000000039	YAL041W	CDC24	Cell Division Cycle	CLS4|Rho family guanine nucleotide exchange factor CDC24	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
40	S000000040	YAL042W	ERV46	ER Vesicle	FUN9	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport
41	S000000041	YAL043C	PTA1	Pre-Trna Accumulation	FUN39|RNA-processing protein PTA1	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
42	S000000042	YAL044C	GCV3	GlyCine cleaVage	glycine decarboxylase subunit H	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF
43	S000000043	YAL045C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A
44	S000000044	YAL046C	BOL3	BolA-like protein	AIM1	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)
45	S000000045	YAL047C	SPC72	Spindle Pole Component	gamma-tubulin complex subunit SPC72|LDB4	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase
46	S000000046	YAL048C	GEM1	GTPase EF-hand protein of Mitochondria	ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases
47	S000000047	YAL049C	AIM2	Altered Inheritance rate of Mitochondria	protein AIM2	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor
48	S000000048	YAL051W	OAF1	Oleate-Activated transcription Factor	oleate-activated transcription factor OAF1|YAF1	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
49	S000000049	YAL053W	FLC2	FLavin Carrier	flavin adenine dinucleotide transporter FLC2|HUF2	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication
50	S000000050	YAL054C	ACS1	Acetyl CoA Synthetase	acetate--CoA ligase 1|FUN44	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions
51	S000000051	YAL055W	PEX22	PEroXisome related	ubiquitin-protein transferase activating protein PEX22|YAF5	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation
52	S000000052	YAL056W	GPB2		KRH1	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication
53	S000000054	YAL058W	CNE1	CalNExin and calreticulin homolog	calnexin|FUN48	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast
54	S000000055	YAL059W	ECM1	ExtraCellular Mutant		Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
55	S000000056	YAL060W	BDH1	Butanediol DeHydrogenase	BDH|(R,R)-butanediol dehydrogenase	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
56	S000000057	YAL061W	BDH2		putative dehydrogenase BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
57	S000000058	YAL062W	GDH3	Glutamate DeHydrogenase	FUN51|glutamate dehydrogenase (NADP(+)) GDH3	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
58	S000000059	YAL063C	FLO9	FLOcculation	flocculin FLO9	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation
59	S000000060	YAL064W				Protein of unknown function; may interact with ribosomes, based on co-purification experiments
60	S000000061	YAL066W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
61	S000000062	YAL067C	SEO1	Suppressor of sulfoxyde EthiOnine resistance	putative permease SEO1	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
62	S000000063	YAR002W	NUP60	NUclear Pore	FG-nucleoporin NUP60	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
63	S000000064	YAR003W	SWD1	Set1c, WD40 repeat protein	COMPASS subunit protein SWD1|CPS50|FUN16|SAF49	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
64	S000000065	YAR007C	RFA1	Replication Factor A	BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia
65	S000000066	YAR008W	SEN34	Splicing ENdonuclease	FUN4|tRNA splicing endonuclease subunit SEN34	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
66	S000000069	YAR014C	BUD14	BUD site selection	protein phosphatase regulator BUD14	Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress
67	S000000070	YAR015W	ADE1	ADEnine requiring	phosphoribosylaminoimidazolesuccinocarboxamide synthase	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress
68	S000000071	YAR018C	KIN3	protein KINase	FUN52|NPK1|serine/threonine protein kinase KIN3	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol
69	S000000072	YAR019C	CDC15	Cell Division Cycle	LYT1|RLT1|serine/threonine protein kinase CDC15	Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure, spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress
70	S000000073	YAR020C	PAU7	seriPAUperin family	seripauperin PAU7	Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme
71	S000000074	YAR023C			DUP240 family protein	Putative integral membrane protein; member of DUP240 gene family
72	S000000075	YAR027W	UIP3	Ulp1 Interacting Protein	DUP240 family protein UIP3	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family
73	S000000076	YAR028W			DUP240 family protein	Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS
74	S000000077	YAR029W			DUP240 family protein	Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
75	S000000078	YAR031W	PRM9	Pheromone-Regulated Membrane protein	pheromone-regulated DUP240 family protein PRM9	Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication
76	S000000079	YAR033W	MST28	Multicopy suppressor of Sec Twenty one	DUP240 family protein MST28	Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication
77	S000000080	YAR035W	YAT1		carnitine O-acetyltransferase YAT1	Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated
78	S000000081	YAR042W	SWH1		OSH1|oxysterol-binding protein related protein SWH1|YAR044W	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication
79	S000000083	YAR047C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
80	S000000084	YAR050W	FLO1	FLOcculation	FLO2|FLO4|flocculin FLO1	Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication
81	S000000085	YAR053W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
82	S000000086	YAR060C				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication
83	S000000089	YAR064W				Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication
84	S000000091	YAR068W				Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication
85	S000000092	YAR069C				Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication
86	S000000093	YAR070C				Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR070C has a paralog, YHR214C-B, that arose from a segmental duplication
87	S000000094	YAR071W	PHO11	PHOsphate metabolism	acid phosphatase PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication
88	S000000095	YAR073W	IMD1	IMP Dehydrogenase	IMP dehydrogenase	Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication
89	S000000097	YBL001C	ECM15	ExtraCellular Mutant		Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis
90	S000000098	YBL002W	HTB2	Histone h Two B	histone H2B	Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation
91	S000000099	YBL003C	HTA2	Histone h Two A	H2A2|histone H2A	Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p; phosphorylated on Tyr57 by casein kinase (CK2)
92	S000000100	YBL004W	UTP20	U Three Protein		Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA
93	S000000101	YBL005W	PDR3	Pleiotropic Drug Resistance	AMY2|drug-responsive transcription factor PDR3|TPE2	Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate
94	S000000102	YBL006C	LDB7	Low Dye Binding	RSC14	Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions
95	S000000103	YBL007C	SLA1	Synthetic Lethal with ABP1	cytoskeletal protein-binding protein SLA1	Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains
96	S000000104	YBL008W	HIR1	HIstone Regulation		Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores
97	S000000105	YBL009W	ALK2		protein kinase ALK2	Protein kinase; along with its paralog, ALK1, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK2 has a paralog, ALK1, that arose from the whole genome duplication; similar to mammalian haspins
98	S000000106	YBL010C	LAA2	Large Adaptin Accessory		Clathrin adaptor (adaptin) accessory protein; physically interacts with and is involved in localization of clathrin adaptor protein complex-1 (AP-1); green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles
