Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YAL012W::chr00_12	CYS3	1.56186	0.377248	"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine"	"catalytic activity (IEA); cystathionine gamma-lyase activity (IDA, IEA); lyase activity (IEA); pyridoxal phosphate binding (IEA)"	amino acid biosynthetic process (IEA); amino acid metabolic process (IEA); cysteine biosynthetic process (IEA); cysteine metabolic process (TAS); response to drug (IMP); sulfur amino acid metabolic process (TAS); transsulfuration (TAS)	"cytoplasm (IDA, IEA)"	no	hom
YAL013W::chr1_1	DEP1	-1.86858	-0.730919	"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	histone deacetylase activity (IDA); transcription regulator activity (IMP)	"chromatin modification (IEA); histone deacetylation (IDA); phospholipid metabolic process (IMP); regulation of transcription from RNA polymerase II promoter (IMP); regulation of transcription, DNA-dependent (IEA); telomere maintenance (IMP); transcription (IEA)"	"Rpd3L complex (IDA); cytoplasm (IEA); nucleus (IEA, IC)"	no	hom
YAL014C::chr1_1	SYN8	-0.696429	-0.0598685	Endosomal SNARE related to mammalian syntaxin 8	SNAP receptor activity (IDA)	"protein transport (IEA); transport (IEA, IMP, IPI)"	"endosome (TAS, IEA); endosome membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YAL015C::chr1_1	NTG1	2.26423	0.112153	"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair, localizes to the nucleus and mitochondrion"	"DNA binding (IEA); DNA-(apurinic or apyrimidinic site) lyase activity (IDA); catalytic activity (IEA); endonuclease activity (IEA); hydrolase activity (IEA); hydrolase activity, acting on glycosyl bonds (IEA); oxidized purine base lesion DNA N-glycosylase activity (IDA); oxidized pyrimidine base lesion DNA N-glycosylase activity (IDA, ISS)"	"DNA repair (IDA, IEA); base-excision repair (IDA, IEA); base-excision repair, AP site formation (IDA); metabolic process (IEA); response to DNA damage stimulus (IEA)"	"intracellular (IEA); mitochondrion (IDA, IEA); nucleus (IDA)"	no	hom
YAL016C-B::chr00_20	YAL016C-B	0.397712	0.075612	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"				no	hom
YAL016W::chr00_12	TPD3			"Regulatory subunit A of the heterotrimeric protein phosphatase 2A, which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and for transcription by RNA polymerase III"	"binding (IEA); protein serine/threonine phosphatase activity (TAS, IDA, IMP)"	actin filament organization (TAS); budding cell bud growth (TAS); mitotic cell cycle spindle assembly checkpoint (IMP); protein amino acid dephosphorylation (TAS); translation (IMP)	"cellular bud neck (IDA); cellular bud tip (IDA); cytoplasm (IDA); mating projection tip (IDA); nucleus (IDA); protein phosphatase type 2A complex (TAS, IDA); spindle pole body (IDA)"	no	hom
YAL017W::chr1_1	PSK1	-1.02273	-0.100207	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA); protein serine/threonine kinase activity (ISS, IEA, IMP); signal transducer activity (IEA); transferase activity (IEA)"	"1,6-beta-glucan biosynthetic process (IGI); hexose metabolic process (IGI, IMP); protein amino acid phosphorylation (IMP, ISS, IEA); signal transduction (IEA)"	cytoplasm (IDA)	no	hom
YAL018C::chr1_1	YAL018C	-0.804481	-0.111684	Putative protein of unknown function	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YAL019W::chr1_1	FUN30	1.72142	0.383717	"Protein whose overexpression affects chromosome stability, potential Cdc28p substrate; homolog of Snf2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	ATP binding (IEA); DNA binding (IEA); helicase activity (IEA); hydrolase activity (IEA); molecular_function (ND); nucleic acid binding (IEA); nucleotide binding (IEA)	chromosome organization and biogenesis (IGI)	"mitochondrion (IDA); nucleus (IEA, IDA)"	no	hom
YAL020C::chr1_1	ATS1	-0.52	-0.11661	"Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle"	molecular_function (ND)	"budding cell bud growth (IGI, IMP); microtubule cytoskeleton organization and biogenesis (IGI, IMP); microtubule-based process (ISS, IGI); tRNA modification (IMP)"	cytoplasm (IPI)	no	hom
YAL021C::chr00_21	CCR4	1.27955	0.337817	"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	3'-5'-exoribonuclease activity (TAS); RNA binding (IEA); exonuclease activity (IEA); hydrolase activity (IEA); magnesium ion binding (IEA); metal ion binding (IEA); nuclease activity (IEA); poly(A)-specific ribonuclease activity (IEA)	"DNA replication (IGI); DNA replication checkpoint (IGI); RNA elongation from RNA polymerase II promoter (IMP, IGI); nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (IGI, IMP, IDA); nuclear-transcribed mRNA poly(A) tail shortening (IDA, IMP); regulation of transcription from RNA polymerase II promoter (IPI); regulation of transcription, DNA-dependent (IEA); replication fork protection (IGI); response to drug (IMP); transcription (IEA); traversing start control point of mitotic cell cycle (IMP)"	"CCR4-NOT core complex (IPI); Cdc73/Paf1 complex (IPI); cytoplasm (IDA, IEA); nucleus (IEA)"	no	hom
YAL021C::chr1_1	CCR4	-0.755992	-0.223625	"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	3'-5'-exoribonuclease activity (TAS); RNA binding (IEA); exonuclease activity (IEA); hydrolase activity (IEA); magnesium ion binding (IEA); metal ion binding (IEA); nuclease activity (IEA); poly(A)-specific ribonuclease activity (IEA)	"DNA replication (IGI); DNA replication checkpoint (IGI); RNA elongation from RNA polymerase II promoter (IMP, IGI); nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (IGI, IMP, IDA); nuclear-transcribed mRNA poly(A) tail shortening (IDA, IMP); regulation of transcription from RNA polymerase II promoter (IPI); regulation of transcription, DNA-dependent (IEA); replication fork protection (IGI); response to drug (IMP); transcription (IEA); traversing start control point of mitotic cell cycle (IMP)"	"CCR4-NOT core complex (IPI); Cdc73/Paf1 complex (IPI); cytoplasm (IDA, IEA); nucleus (IEA)"	no	hom
YAL022C::chr1_1	FUN26	-0.704774	-0.0541475	Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes	"nucleoside transmembrane transporter activity (IDA, IEA)"	nucleoside transport (IDA); transport (IEA)	"integral to membrane (IEA); intracellular (IDA); membrane (IEA, IDA)"	no	hom
YAL023C::chr1_1	PMT2	-0.964237	-0.194268	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals"	"dolichyl-phosphate-mannose-protein mannosyltransferase activity (ISS, IMP, IEA); mannosyltransferase activity (IEA); transferase activity (IEA); transferase activity, transferring glycosyl groups (IEA)"	"protein amino acid O-linked glycosylation (ISS, IEA, IMP)"	"endoplasmic reticulum (IEA, TAS); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YAL024C::chr00_17a	LTE1	5.17847	0.512974	"Putative GDP/GTP exchange factor required for mitotic exit at low temperatures; acts as a guanine nucleotide exchange factor (GEF) for Tem1p, which is a key regulator of mitotic exit; physically associates with Ras2p-GTP"	"guanyl-nucleotide exchange factor activity (ISS, IEA)"	cell cycle (IEA); cell division (IEA); mitosis (IEA); mitotic cell cycle spindle orientation checkpoint (TAS); regulation of exit from mitosis (TAS); regulation of small GTPase mediated signal transduction (IEA); response to drug (IMP); small GTPase mediated signal transduction (IEA); vesicle-mediated transport (IGI)	"cellular bud (TAS, IEA); cytoplasm (IEA); intracellular (IEA)"	no	hom
YAL025C::chr1_1	MAK16	-2.0365	-0.331556	"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	molecular_function (ND)	"cell cycle (IEA); maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (IMP); maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (IMP); ribosomal large subunit biogenesis and assembly (IMP); ribosome biogenesis and assembly (RCA)"	nucleolus (IDA); nucleus (IEA)	yes	het
YAL026C::chr1_1	DRS2	-1.45898	-0.371031	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vessicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease	"ATP binding (IEA); ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (ISS, IEA); hydrolase activity (IEA); magnesium ion binding (IEA); nucleotide binding (IEA); phospholipid-translocating ATPase activity (IMP, IEA, IGI)"	"endocytosis (IGI); intracellular protein transport (IGI); phospholipid translocation (IMP); phospholipid transport (IEA); post-Golgi vesicle-mediated transport (IMP, IGI); ribosomal small subunit assembly and maintenance (IMP); transport (IEA)"	Golgi apparatus (IEA); integral to membrane (IEA); membrane (IEA); trans-Golgi network (IDA)	no	hom
YAL027W::chr1_1	SAW1	-0.993378	-0.129279	Catalyzes 3'-nonhomologous tail removal of Rad1p/Rad10p-dependent single-strand annealing recombination intermediates; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YAL027W is a non-essential gene	molecular_function (ND)	biological_process (ND)	nucleus (IDA)	no	hom
YAL028W::chr1_1	FRT2	0.518124	0.0513392	"Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress; potential Cdc28p substrate"	molecular_function (ND)	response to stress (IMP)	"endoplasmic reticulum (IEA, IDA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YAL029C::chr1_1	MYO4	0.158827	0.0343398	"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p"	"ATP binding (IEA); actin binding (IEA); actin filament binding (IDA, IEA); calmodulin binding (IEA); microfilament motor activity (IDA); motor activity (IEA); nucleotide binding (IEA)"	"endoplasmic reticulum inheritance (IMP); intracellular mRNA localization (IMP, IPI); mating type switching (IMP)"	"cellular bud (IEA, IDA); filamentous actin (IDA); mitochondrion (IDA); myosin V complex (ISS); myosin complex (IEA)"	no	hom
YAL030W::chr1_1	SNC1	0.466926	0.0513907	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	SNAP receptor activity (TAS)	"Golgi to plasma membrane transport (TAS); endocytosis (TAS, IMP); vesicle fusion (TAS); vesicle-mediated transport (IEA)"	SNARE complex (IDA); endomembrane system (IEA); endosome (IDA); integral to membrane (IEA); membrane (IEA); trans-Golgi network (IDA); transport vesicle (IDA)	no	hom
YAL031C::chr1_1	GIP4	0.906954	0.0959636	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	protein phosphatase 1 binding (IDA); protein phosphatase type 1 regulator activity (IMP)	chromosome segregation (IMP); regulation of phosphoprotein phosphatase activity (IMP)	"cytoplasm (IDA, IEA)"	no	hom
YAL032C::chr1_1	PRP45	0.27716	0.0366728	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	transcription activator activity (IDA)	"RNA splicing (IEA); mRNA processing (IEA); nuclear mRNA splicing, via spliceosome (IMP); positive regulation of transcription from RNA polymerase II promoter (IDA)"	"nucleus (IEA, IDA); spliceosome (IPI, IEA)"	yes	het
YAL033W::chr1_1	POP5	0.315816	0.0750398	"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends"	"hydrolase activity (IEA); ribonuclease MRP activity (IMP); ribonuclease P activity (IMP, IEA); ribonuclease activity (IEA)"	"mRNA cleavage (IPI); rRNA processing (TAS, IEA); tRNA processing (TAS, IEA)"	cytoplasm (IEA); nucleolar ribonuclease P complex (IDA); nucleus (IEA); ribonuclease MRP complex (IDA)	yes	het
YAL034C::chr1_1	FUN19			Non-essential protein of unknown function	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL034W-A::chr1_1	MTW1	-2.75648	-0.263017	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly	molecular_function (ND)	cell cycle (IEA); cell division (IEA); chromosome segregation (IDA); mitosis (IEA)	"chromosome, centromeric region (IEA); condensed chromosome kinetochore (IEA); nuclear MIS12/MIND type complex (IDA); nucleus (IEA); spindle pole (IDA)"	yes	het
YAL035C-A::chr1_1	YAL035C-A	-0.917632	-0.0694428						het
YAL035W::chr1_1	FUN12			"GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2"	"GTP binding (IEA); GTPase activity (IMP, IEA, ISS); nucleotide binding (IEA); translation initiation factor activity (IDA, IEA)"	translation (IEA); translational initiation (IDA)	cytosolic small ribosomal subunit (IDA); mitochondrion (IDA)	no	hom
YAL036C::chr1_1	RBG1	0.231328	0.0252529	Member of the DRG family of GTP-binding proteins; interacts with translating ribosomes and with Tma46p	"GTP binding (IEA, ISS); nucleotide binding (IEA)"	ribosome biogenesis and assembly (RCA)	"cytoplasm (IDA, IEA); intracellular (IEA)"	no	hom
YAL037C-A::chr00_20	YAL037C-A	0.176581	0.0202305	Putative protein of unknown function	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL037W::chr1_1	YAL037W	-0.435777	-0.114405	Putative protein of unknown function	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL038W::chr1_1	CDC19	1.23134	0.137299	"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration"	"catalytic activity (IEA); kinase activity (IEA); magnesium ion binding (IEA); metal ion binding (IEA); potassium ion binding (IEA); pyruvate kinase activity (IMP, IDA, IEA); transferase activity (IEA)"	"glycolysis (IMP, IEA); pyruvate metabolic process (IMP)"	cytosol (TAS)	yes	het
YAL039C::chr1_1	CYC3			"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)"	"holocytochrome-c synthase activity (IDA, IEA); iron ion binding (IEA); lyase activity (IEA); metal ion binding (IEA)"	cytochrome c-heme linkage (IDA)	"membrane (IEA); mitochondrial inner membrane (IEA); mitochondrial intermembrane space (IDA); mitochondrion (IDA, IEA)"	no	hom
YAL040C::chr1_1	CLN3	0.0414896	0.0691418	"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis"	cyclin-dependent protein kinase regulator activity (TAS)	"G1/S transition of mitotic cell cycle (TAS); cell cycle (IEA); cell division (IEA); regulation of cell size (IMP); regulation of cyclin-dependent protein kinase activity (TAS); vacuole fusion, non-autophagic (IDA, IMP); vacuole organization and biogenesis (IMP)"	"nucleus (IDA, IMP)"	no	hom
YAL041W::chr1_1	CDC24	-1.96419	-0.933912	"Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing"	"Rho guanyl-nucleotide exchange factor activity (TAS, IEA); guanyl-nucleotide exchange factor activity (IEA)"	"budding cell apical bud growth (IPI); budding cell isotropic bud growth (IPI); cellular morphogenesis during conjugation with cellular fusion (IMP, IPI); chitin localization (IMP); establishment of cell polarity (TAS); intracellular signaling cascade (IEA); invasive growth in response to glucose limitation (IPI); pheromone-dependent signal transduction during conjugation with cellular fusion (IGI, TAS, IPI); pseudohyphal growth (IPI); regulation of Rho protein signal transduction (IEA); regulation of exit from mitosis (IMP); small GTPase mediated signal transduction (TAS)"	cellular bud neck (IDA); incipient cellular bud site (IDA); intracellular (IEA); mating projection tip (IDA); nucleus (IDA)	yes	het
YAL042W::chr1_1	ERV46	-0.370787	-0.0360017	"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport"	molecular_function (ND)	ER to Golgi vesicle-mediated transport (IPI); protein transport (IEA); transport (IEA); vesicle-mediated transport (IEA)	ER to Golgi transport vesicle (IDA); Golgi apparatus (IEA); Golgi membrane (IEA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to Golgi membrane (IDA); integral to endoplasmic reticulum membrane (IDA); integral to membrane (IEA); membrane (IEA)	no	hom
YAL043C-A::chr1_1	YAL043C-A	0.978516	0.103546						hom
YAL043C::chr1_1	PTA1	0.423729	0.0601137	"Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"	RNA binding (IC)	"mRNA cleavage (IMP); mRNA polyadenylation (IMP); mRNA processing (IEA); tRNA processing (IEA, IMP); termination of RNA polymerase II transcription, poly(A)-coupled (IPI); termination of RNA polymerase II transcription, poly(A)-independent (IPI)"	mRNA cleavage and polyadenylation specificity factor complex (IPI); mRNA cleavage factor complex (IPI); nucleus (IEA)	yes	het
YAL044C::chr1_1	GCV3	-0.0693585	0.00725011	"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm"	"glycine dehydrogenase (decarboxylating) activity (IMP, ISA); lipoic acid binding (IEA)"	"glycine catabolic process (IMP, IEA); one-carbon compound metabolic process (IGI); telomere maintenance (IMP)"	"glycine cleavage complex (IEA, ISA); mitochondrion (IDA, IEA)"	no	hom
YAL044W-A::chr00_21	YAL044W-A	-0.0624198	-0.00838528	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL045C::chr1_1	YAL045C	-0.844479	-0.0530474	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"				no	hom
YAL046C::chr1_1	AIM1	2.33986	0.24226	Putative protein of unknown function; null mutant displays increased frequency of mitochondrial genome loss (petite formation)	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL047C::chr00_12	SPC72	-0.706082	-0.193729	"Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization"	structural constituent of cytoskeleton (IPI)	"microtubule nucleation (IPI); mitotic cell cycle spindle orientation checkpoint (IPI, IGI); mitotic sister chromatid segregation (IMP); mitotic spindle elongation (IMP); nuclear migration, microtubule-mediated (IMP)"	outer plaque of spindle pole body (IDA)	no	hom
YAL048C::chr1_1	GEM1	-0.747202	-0.106319	"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death"	GTP binding (IEA); GTPase activity (IDA); calcium ion binding (IEA); hydrolase activity (IEA); nucleotide binding (IEA)	"mitochondrion inheritance (IMP, IGI); small GTPase mediated signal transduction (IEA); vesicle-mediated transport (IGI, IMP)"	"integral to membrane (IEA); intracellular (IEA); membrane (IEA); mitochondrial outer membrane (IDA, IEA); mitochondrion (IDA, IEA); outer membrane (IEA)"	no	hom
YAL049C::chr00_23	AIM2	0.574976	0.0507914	"Cytoplasmic protein of unknown function, potential Hsp82p interactor; null mutant displays decreased frequency of mitochondrial genome loss (petite formation)"	hydrolase activity (IEA); molecular_function (ND)	biological_process (ND)	cytoplasm (IDA)	no	hom
YAL049C::chr1_1	AIM2	1.31887	0.197978	"Cytoplasmic protein of unknown function, potential Hsp82p interactor; null mutant displays decreased frequency of mitochondrial genome loss (petite formation)"	hydrolase activity (IEA); molecular_function (ND)	biological_process (ND)	cytoplasm (IDA)	no	hom
YAL051W::chr1_1	OAF1	-4.20347	-0.1689	"Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis"	"DNA binding (IEA, IDA, IPI, ISS); metal ion binding (IEA); transcription activator activity (IMP, IPI, ISS); transcription factor activity (IEA); zinc ion binding (IEA)"	"fatty acid metabolic process (IGI, IMP); negative regulation of transcription (IMP); peroxisome organization and biogenesis (IGI, IMP); positive regulation of transcription (IMP, IPI, IGI); regulation of transcription, DNA-dependent (IEA); response to oleate (IEP); sporulation (IEA); transcription (IEA)"	"nucleus (IEA, IPI)"	no	hom
YAL053W::chr1_1	FLC2	2.89474	0.0883422	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance	FAD transmembrane transporter activity (IMP)	FAD transport (IMP); fungal-type cell wall biogenesis (IMP); protein folding (IMP); transport (IEA)	"cytoplasm (IDA); endoplasmic reticulum (IEA, IDA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YAL054C::chr00_12	ACS1	-0.709093	-0.0577079	"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"	"AMP binding (IEA); acetate-CoA ligase activity (IDA, IEA); catalytic activity (IEA); ligase activity (IEA)"	acetate fermentation (IMP); acetyl-CoA biosynthetic process (IDA); histone acetylation (IGI); metabolic process (IEA)	cytosol (IDA); endoplasmic reticulum (IEA); microsome (IEA); mitochondrion (IDA)	no	hom
