orf::batch:tagtype	Gene	T0	30C_T1	30C_T2	30C_T3	30C_T4	30C_T5	37C_T1	37C_T2	37C_T3	37C_T4	37C_T5	30C_RAPA_T1	30C_RAPA_T2	30C_RAPA_T3	Description	feature_qualifier	GO_process	GO_function	GO_component	essential_gene	zygosity
YAL024C::chr00_17a:uptag	LTE1	1857.2	2360.6	1814	1671.2	1863.8	1372.8	1548.8	1360.2	968.8	985.8	764.8	1533.4	1191.8	37	Putative GDP/GTP exchange factor required for mitotic exit at low temperatures; acts as a guanine nucleotide exchange factor (GEF) for Tem1p, which is a key regulator of mitotic exit; physically associates with Ras2p-GTP	Verified	response to drug*	guanyl-nucleotide exchange factor activity	bud	no	hom
YAL025C::chr1_1:uptag	MAK16	426.4	546.4	471.8	358.8	624.8	401.6	495.2	494.8	404.2	598.4	233	606.6	750.8	196.2	Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	Verified	ribosome biogenesis and assembly*	molecular function unknown	nucleolus	yes	het
YAL026C::chr1_1:uptag	DRS2	218.4	170.4	155	87.4	125	68.2	259	178.6	102.6	60.2	55	280.8	708	93.6	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vessicles; localizes to the trans-Golgi network; contributes to clathrin-coated vesicle formation and endocytosis; type 4 P-type ATPase	Verified	endocytosis*	phospholipid-translocating ATPase activity*	Golgi trans face	no	hom
YAL027W::chr1_1:uptag	YAL027W	1405.8	1910.8	1740.2	1733.2	1995.8	1292.2	1666.6	1938.8	1495.2	1939.2	1206.6	2229.8	3230.2	292.2		Uncharacterized	biological process unknown	molecular function unknown	nucleus	no	hom
YAL028W::chr1_1:uptag	FRT2	1958.2	2497	2216.6	2361.2	2792.2	1939.2	2507.6	2509	2176.2	2721.6	2003.8	2561.8	3870	641.2	Tail-anchored endoplasmic reticulum membrane protein, interacts with homolog Frt1p but is not a substrate of calcineurin (unlike Frt1p), promotes growth in conditions of high Na+, alkaline pH, or cell wall stress; potential Cdc28p substrate	Verified	response to stress	molecular function unknown	endoplasmic reticulum	no	hom
YAL029C::chr1_1:uptag	MYO4	635.2	1003.4	1044.8	1273	1369.8	1082.8	1314.4	1186	977	1179.8	701	1247.6	1224.8	36.4	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p	Verified	intracellular mRNA localization*	actin filament binding*	mitochondrion*	no	hom
YAL030W::chr1_1:uptag	SNC1	1456	2131.4	1713.8	1498.8	1749.6	1637.8	1769.2	1723	1608	1676	1019.2	1676.4	2508.4	1200.4	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	Verified	endocytosis*	v-SNARE activity	endosome*	no	hom
YAL031C::chr1_1:uptag	GIP4	945	1460.2	1118	1121.6	1228.2	954.6	1129.8	1167	918.8	1046.6	719.2	1027.2	1579.4	456.4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	Verified	chromosome segregation*	protein phosphatase type 1 regulator activity*	cytoplasm	no	hom
YAL032C::chr1_1:uptag	PRP45	374	500.6	431	533.6	455.4	383.8	472.6	503.6	337	466.8	174.6	417.2	551.8	357	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	Verified	nuclear mRNA splicing, via spliceosome*	transcriptional activator activity	nucleus*	yes	het
YAL033W::chr1_1:uptag	POP5	294.6	394.4	372.6	366.4	369.2	268.6	345.2	381.4	318.8	466.2	212.6	468.6	634.4	270.2	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Verified	rRNA processing*	ribonuclease P activity*	ribonuclease MRP complex*	yes	het
YAL034C::chr1_1:uptag	FUN19	57.6	74.6	78.6	62	68.4	72.4	62.4	67.2	58.6	69	56.6	68.4	91.8	40.4	Non-essential protein of unknown function	Verified	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL034W-A::chr1_1:uptag	MTW1	1788.2	2405	2023.4	2202	2434.8	2201.6	2203.2	2176.2	2042.2	2196	1111.4	2180.6	2546.2	1453.8	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly	Verified	chromosome segregation	molecular function unknown	spindle pole*	yes	het
YAL035C-A::chr1_1:uptag	YAL034C-B	1612.75	2310	1844.4	1729.4	1946.8	1835.4	1925.8	1837.6	1768.25	1811.2	986.8	1877.6	2404.4	1251		Dubious				yes	het
YAL035W::chr1_1:uptag	FUN12	107.4	54.8	58.6	43.8	40	58.6	68	44.8	45	43.2	55.2	62.6	50.6	44.2	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; homolog of bacterial IF2	Verified	translational initiation	GTPase activity*	mitochondrion*	no	hom
YAL036C::chr1_1:uptag	RBG1	1054.2	1500.6	1428	1280.4	1367	1115.2	1430	1826.2	1208.8	1426	919.2	1390.2	2374.6	700	Member of the DRG family of GTP-binding proteins; interacts with translating ribosomes and with Tma46p	Verified	ribosome biogenesis and assembly	GTP binding	cytoplasm	no	hom
YAL037C-A::chr00_20:downtag	YAL037C-A	1390.6	1683.4	1552.4	1205.4	940.6	1210.2	1409.8	1550.2	1297	979.4	858.2	1261.4	1188.8	273		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL037C-A::chr00_20:uptag	YAL037C-A	1238.2	1747.2	1459.4	1474.6	1549.2	1368.8	1458.8	1707.6	1334.8	1321.2	959	1562.8	1189.5	34		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL037W::chr1_1:uptag	YAL037W	601.2	845.8	793	956.6	734.6	773	866	1025	792.8	1172.4	591.2	949.6	1404.8	174.2		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL038W::chr1_1:uptag	CDC19	687.6	1127.8	980.8	1002	1017.6	947.8	996.6	1098.6	829.8	866.2	268.6	1005.8	1299.2	392.6	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	Verified	glycolysis*	pyruvate kinase activity	cytosol	yes	het
YAL039C::chr1_1:uptag	CYC3	52.8	57	58.8	46.6	47.8	59.4	49	53.8	47	50.6	53.6	54.2	87.2	43.4	Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-Cyc1p in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)	Verified	cytochrome c-heme linkage	holocytochrome-c synthase activity	mitochondrion*	no	hom
YAL040C::chr1_1:uptag	CLN3	133.6	236.2	157	230.8	101.2	76.8	205.4	253.8	143.4	244.2	159.4	161	136.2	35.8	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis	Verified	G1/S transition of mitotic cell cycle*	cyclin-dependent protein kinase regulator activity	nucleus	no	hom
YAL041W::chr1_1:uptag	CDC24	354.4	224.4	222.6	116.2	92.8	86.2	307.4	154.2	119.6	224	110	521.2	763.2	314.6	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing	Verified	pseudohyphal growth*	signal transducer activity*	nucleus*	yes	het
YAL042W::chr1_1:uptag	ERV46	766.4	861.4	780	697.8	862.25	724	1075.2	959.6	861.8	1026.6	543.8	1087.4	1865.2	319.8	Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport	Verified	ER to Golgi vesicle-mediated transport	molecular function unknown	integral to endoplasmic reticulum membrane*	no	hom
YAL043C-A::chr1_1:uptag	YAL042C-A	608.4	833.8	637	584	866.6	709.6	734.2	708.2	511.6	676	458.6	764.4	1298.8	147.8		Dubious				no	hom
YAL043C::chr1_1:uptag	PTA1	1216.2	1625.4	1355.8	1116	1545	980.8	1179.6	1344.8	1179	1396.6	589	1079.6	1242.6	856.4	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	Verified	mRNA polyadenylation*	RNA binding	mRNA cleavage and polyadenylation specificity factor complex*	yes	het
YAL044C::chr1_1:uptag	GCV3	194.2	166	85.6	48.8	45.25	60.8	95.75	64.6	56.4	67	65.2	159.2	180.6	37	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm	Verified	telomere maintenance*	glycine dehydrogenase (decarboxylating) activity	mitochondrion*	no	hom
YAL044W-A::chr00_21:downtag	YAL044W-A	1789.8	2768	2562.6	2210.4	1668.2	2147.2	2472.8	2989.8	2456.4	2058.6	1649	2831.8	2512.4	387.8		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL044W-A::chr00_21:uptag	YAL044W-A	364.2	568.8	536.8	609	674.8	551.4	546.4	741.4	510.8	710.8	465.6	571.2	704.8	122		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL045C::chr1_1:uptag	YAL045C	2354.4	3067.4	2511.6	2493.4	2857.8	2408.8	2491	2557.4	2345.8	2496.4	1963	2420.8	3281.2	1062.6		Dubious				no	hom
YAL046C::chr1_1:uptag	YAL046C	1101.4	1653.8	1421.6	1119	1270	1113	1084	998.2	971.6	1067.2	937.2	924.6	598.8	112.8		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL047C::chr00_12:downtag	SPC72	531.4	158.8	56.2	39	35.8	51.4	70.8	39.4	37	38.6	47	387.8	124.6	34.8	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization	Verified	mitotic sister chromatid segregation*	structural constituent of cytoskeleton	outer plaque of spindle pole body	no	hom
YAL047C::chr00_12:uptag	SPC72	78	46.4	53.4	36.8	38	53.2	47.8	37.2	41.8	37.8	45.2	101.2	47.6	34.6	Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization	Verified	mitotic sister chromatid segregation*	structural constituent of cytoskeleton	outer plaque of spindle pole body	no	hom
YAL048C::chr1_1:uptag	GEM1	1509.6	1973.8	1504.4	1285.6	1371.8	783.4	1559.2	1327.8	948.6	770.8	396.4	1362.2	1762.6	299.6	Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; not required for pheromone-induced cell death	Verified	vesicle-mediated transport	GTPase activity	mitochondrion*	no	hom
YAL049C::chr00_23:downtag	YAL049C	1726.8	2518	2427.6	1919.8	1456	2099.6	2462.2	2605.8	2408.2	2144.4	1469.8	2367.8	1952.8	290.6		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YAL049C::chr00_23:uptag	YAL049C	282.6	377.4	298.5	409.6	352.6	275.6	373.4	372.2	317.2	353.8	270.2	324.4	344.2	85		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YAL049C::chr1_1:uptag	YAL049C	869.2	1247.6	1012.2	842.4	1231.6	841	820.6	1015.6	914.4	1143.8	729.2	711.4	1140.8	239		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YAL051W::chr1_1:uptag	OAF1	1236.2	1691.6	1400	1520.6	1516	1342.2	1460	1334.6	1154.6	1540	1105.4	1562.6	2398.6	717	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis	Verified	peroxisome organization and biogenesis*	DNA binding*	nucleus	no	hom
YAL053W::chr1_1:uptag	FLC2	1164.2	1556.8	1474.4	1129.2	1831.4	1232.8	1412.4	1686.2	1279.6	1729	1286.4	1488.6	2615.4	699.2	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance	Verified	protein folding*	FAD transporter activity	cytoplasm*	no	hom
YAL054C::chr00_12:downtag	ACS1	1818.8	3143.2	3023.4	2420.4	1986.6	2583	2744.8	3090.4	3047.4	2502.6	2007.2	2219.4	2439.4	679.8	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	Verified	histone acetylation*	acetate-CoA ligase activity	mitochondrion*	no	hom
YAL054C::chr00_12:uptag	ACS1	2358.8	3234.8	2735.8	2692.2	2840.8	2688.6	2516	2660.8	2644.6	2604	2037.6	2497.8	2776.8	871.4	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	Verified	histone acetylation*	acetate-CoA ligase activity	mitochondrion*	no	hom
YAL055W::chr1_1:uptag	PEX22	761	963.4	822.2	900.2	819.6	464.6	803.4	802.2	356.8	285.6	101	963	1530.6	528.8	Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation	Verified	protein targeting to peroxisome	molecular function unknown	peroxisome	no	hom
YAL056W::chr1_1:uptag	GPB2	604.4	894.6	774.4	827.2	763.2	658.6	721.4	760.8	606.6	779.4	459.8	679.2	825	82.4	Proposed beta subunit of the heterotrimeric G protein; interacts with the receptor Grp1p, affects signaling by altering the level of phosphorylation of PKS substrates; regulates pseudohyphal growth through cAMP levels; homolog of Gpb1p	Verified	telomere maintenance*	signal transducer activity*	cytoplasm*	no	hom
YAL058C-A::chr00_12:downtag	YAL056C-A	2772.6	3619.8	2780.2	1401	1103.6	1244	3416.2	3222.5	3453	2874.4	2339.2	3001.8	3176.6	476		Dubious				no	hom
YAL058C-A::chr00_12:uptag	YAL056C-A	1420.2	1891.2	1139.2	373	593	719	1363.8	1428.4	1184	1306.8	1036.8	1244.8	1020	35		Dubious				no	hom
YAL058W::chr1_1:uptag	CNE1	1399.4	1736.2	1161.8	619.4	840.2	468.8	1499.4	1069	1015.6	742	666.4	1368.2	1836.6	229	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	Verified	protein folding*	unfolded protein binding	integral to endoplasmic reticulum membrane	no	hom
YAL059W::chr1_1:uptag	ECM1	3177	3989.6	2880.8	2015.4	2592.8	1723.2	3204.6	3401.4	2949.6	3410.2	2922.6	3375.4	4926.4	2449.8	Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export	Verified	cell wall organization and biogenesis*	molecular function unknown	nucleus*	no	hom
YAL060W::chr1_1:uptag	BDH1	2293.8	3183.6	2581.4	2572	2687.6	2577.6	2509.6	2484.8	2407.8	2473	1875.8	2496.8	3325.4	1501.4	NAD-dependent (2R,3R)-2,3-butanediol dehydrogenase, a zinc-containing medium-chain alcohol dehydrogenase, produces 2,3-butanediol from acetoin during fermentation and allows using 2,3-butanediol as a carbon source during aerobic growth	Verified	glucose catabolic process to butanediol	(R,R)-butanediol dehydrogenase activity	cytoplasm	no	hom
YAL061W::chr1_1:uptag	YAL061W	2662.6	3512.2	2904.6	2817	3105.8	2806	2887	2835	2752.8	2915.6	2077.4	2778	3492.4	1617.2		Uncharacterized	biological process unknown	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	cytoplasm*	no	hom
YAL062W::chr1_1:uptag	GDH3	1791.2	2417.2	2109.2	2073.2	2427.75	1918.8	2118.6	2027.8	1993.8	1944	1637	2004.6	3026.6	857.8	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources	Verified	glutamate biosynthetic process	glutamate dehydrogenase activity	nucleus*	no	hom
YAL064C-A::chr00_1:downtag	YAL064C-A	1785.2	2773	2393	2075	1525.8	1986.6	2498.4	2753.4	2308.6	1914	1561.2	2567	2173.8	614.4		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL064C-A::chr00_1:uptag	YAL064C-A	584.6	806	877.4	936.6	825	608.2	834.4	857.8	689.4	766	632.8	797.2	989.8	33.6		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL065C::chr1_1:uptag	YAL065C	1454	1975.8	1673	1754.6	1953.8	1579	1723	1724	1467.6	1758.8	1413.6	1615.4	2653	609		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL066W::chr1_1:uptag	YAL066W	271.8	316.8	331.6	283.8	351.2	291.2	368.6	322.2	236.6	242.8	154.4	398.2	747	144.4		Dubious				no	hom
