ORF	Gene	Average Ratio	Gene Description
YER074W	RPS24A	12.2	40S ribosomal protein S24A, protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YCR047C	BUD23	12.2	Protein carboxyl methylase, biological_process unknown, molecular_function unknown,
YPL129W	ANC1	12.1	transcription initiation factor TFIIF small subunit, transcription initiation from Pol II promoter*, non-specific RNA polymerase II transcription factor, nucleosome remodeling complex*
YIR026C	YVH1	12.0	nitrogen starvation-induced protein phosphatase, meiosis*, protein tyrosine phosphatase,
YJL189W	RPL39	12.0	Ribosomal protein L39 (L46) (YL40), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YDR129C	SAC6	12.0	fibrim homolog (actin-filament bundling protein), endocytosis*, actin cross-linking, actin cortical patch (sensu Saccharomyces)*
YPL050C	MNN9	12.0	Protein required for complex glycosylation, protein glycosylation,
YGL240W	DOC1	11.8	component of the anaphase-promoting complex, ubiquitin-dependent protein degradation*, enzyme activator, anaphase-promoting complex
YDR418W	RPL12B	11.6	Ribosomal protein L12B (L15B) (YL23), protein biosynthesis*, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YBR189W	RPS9B	11.6	Ribosomal protein S9B (S13) (rp21) (YS11), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YKR082W	NUP133	11.6	nuclear pore protein, mRNA-nucleus export*, structural protein, nuclear pore
YDR264C	AKR1	11.5	Ankyrin repeat-containing protein, endocytosis*, molecular_function unknown, cellular_component unknown
YAL047C	SPC72	11.4	component of spindle pole bodies, microtubule nucleation*, structural protein of cytoskeleton, outer plaque of spindle pole body
YDR174W	HMO1	11.4	35 kDa protein belonging to the high mobility group (HMG) fanily of proteins
YOR096W	RPS7A	11.2	Ribosomal protein S7A (rp30), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YLR382C	NAM2	11.2	mitochondrial leucyl tRNA synthetase,leucine--tRNA ligase,
YKR024C	DBP7	11.2	putative RNA helicase, 35S primary transcript processing*, ATP dependent RNA helicase, nucleolus
YDR477W	SNF1	11.1	protein serine threonine kinase, protein phosphorylation*, SNF1A/AMP-activated protein kinase, cytoplasm
YNR052C	POP2	10.9	Putative transcription factor
YGR036C	CAX4	10.9	CAX4p contains 3 short stretches of amino acids that are characteristic for a wide variety of phosphatases, including lipid phosphatases and a protein phosphatase.,molecular_function unknown,
YLR447C	VMA6	10.9	vacuolar ATPase V0 domain subunit d (36 kDa), vacuolar acidification*, hydrogen-transporting two-sector ATPase, vacuolar membrane*
YLR074C	BUD20	10.8	BUD site selection, biological_process unknown, molecular_function unknown, cellular_component unknown
YER044C	ERG28	10.8	ergosterol biosynthesis, molecular_function unknown, cellular_component unknown
YJL184W		10.7	biological_process unknown, molecular_function unknown,
YBR127C	VMA2	10.6	vacuolar ATPase V1 domain subunit B (60 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain
YNL246W		10.6	biological_process unknown, molecular_function unknown,
YDR127W	ARO1	10.5	pentafunctional arom polypeptide (contains: 3-dehydroquinate synthase, 3-dehydroquinate dehydratase (3-dehydroquinase), shikimate 5-dehydrogenase, shikimate kinase, and epsp synthase),3-dehydroquinate dehydratase,
YNL133C	FYV6	10.5	biological_process unknown, molecular_function unknown, cellular_component unknown
YLR370C	ARC18	10.4	Arp2 3 Complex Subunit, actin filament organization, structural protein of cytoskeleton, Arp2/3 protein complex
YBL033C	RIB1	10.3	GTP cyclohydrolase II,GTP cyclohydrolase II,
YGR006W	PRP18	10.1	RNA splicing factor associated with U5 snRNP, mRNA splicing,
YOL086C	ADH1	10.1	Alcohol dehydrogenase,acylglycerone-phosphate reductase,
YCL007C	CWH36	10.1	involved in cell wall biogenesis,molecular_function unknown,
YDL191W	RPL35A	10.0	Ribosomal protein L35A, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YKL054C	VID31	10.0	vacuole import and degradation,molecular_function unknown,
YPR072W	NOT5	9.9	member of the NOT complex, a global negative regulator of transcription, transcription,
YGR020C	VMA7	9.9	vacuolar ATPase V1 domain subunit F (14 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain
YJR118C	ILM1	9.9	molecular_function unknown
YMR307W	GAS1	9.8	cell surface glycoprotein 115-120 kDa, biological_process unknown,
YJR090C	GRR1	9.7	cyclin F box protein, ubiquitin-dependent protein degradation*, ubiquitin--protein ligase*, nuclear ubiquitin ligase complex
YDR226W	ADK1	9.7	adenylate kinase,adenylate kinase,
YOR080W	DIA2	9.7	Digs Into Agar, invasive growth, molecular_function unknown, cellular_component unknown
YDR532C	KRE28	9.6	biological_process unknown, molecular_function unknown,
YLR139C	SLS1	9.6	73 kDa mitochondrial integral membrane protein
YHR038W	FIL1	9.6	Putative mitochondrial ribosome recycling factor, protein biosynthesis, translation termination factor, mitochondrion
YPL271W	ATP15	9.5	nuclear gene for ATP synthase epsilon subunit, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, central stalk
YAL016W	TPD3	9.5	protein phosphatase 2A regulatory subunit A, protein biosynthesis*, protein phosphatase type 2A, protein phosphatase type 2A
YGL070C	RPB9	9.4	RNA polymerase II subunit, transcription from Pol II promoter, DNA-directed RNA polymerase II, DNA-directed RNA polymerase II, core
YER154W	OXA1	9.4	involved in cytochrome c oxidase and ATP synthase assembly, mitochondrial translocation, protein transporter, mitochondrial inner membrane
YLR067C	PET309	9.4	involved in COX1 mRNA stability, protein biosynthesis*, molecular_function unknown, mitochondrial inner membrane
YCR020W-B	HTL1	9.3	high-temperature lethal, biological_process unknown, molecular_function unknown,
YDR161W	TCI1	9.1	interacts with PP2C, biological_process unknown,
YBL058W	SHP1	9.1	putative regulatory subunit for Glc7p, a phosphatase required for glucose repression, sporulation (sensu Saccharomyces)*, molecular_function unknown, cellular_component unknown
YDR069C	DOA4	9.1	ubiquitin isopeptidase, deubiquitylation*, ubiquitin-specific protease, 26S proteasome
YHR168W		9.1	GTP-binding protein, biological_process unknown, molecular_function unknown,
YMR138W	CIN4	9.0	GTP-binding protein, microtubule-based process, GTP binding, microtubule
YCR084C	TUP1	9.0	glucose repression regulatory protein, exhibits similarity to beta subunits of G proteins, transcription,
YHR039C-B		9.0	
YIL128W	MET18	9.0	regulator of TFIIH, transcription from Pol II promoter*, RNA polymerase II transcription factor, nucleoplasm
YGR162W	TIF4631	8.9	mRNA cap-binding protein (eIF-4F), 150K subunit , highly homologous to Tif4632p, homologs of mammalian p220, protein synthesis initiation, translation initiation factor, ribosome
YGL168W		8.9	biological_process unknown, molecular_function unknown,
YDL151C	FYV3	8.9	biological_process unknown, molecular_function unknown, cellular_component unknown
YCR063W	BUD31	8.8	G10-like protein, biological_process unknown, molecular_function unknown, cellular_component unknown
YJL136C	RPS21B	8.8	Ribosomal protein S21B (S26B) (YS25), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YLR337C	VRP1	8.8	Proline-rich protein verprolin, actin filament organization*, actin binding, actin cortical patch (sensu Saccharomyces)
YGR285C	ZUO1	8.7	Zuotin, putative Z-DNA binding protein, protein folding, chaperone, cytosol*
YEL029C	BUD16	8.7	biological_process unknown, molecular_function unknown,
YMR060C	TOM37	8.6	mitochondrial import receptor, heterodimerizes with Tom70p, preferentially recognizes the mature regions of precursor proteins associated with ATP-dependent cytosolic chaperones, mitochondrial translocation, protein transporter, mitochondrial outer membrane translocase complex
YHL025W	SNF6	8.6	subunit of the chromatin remodeling Snf Swi complex, chromatin modeling, non-specific RNA polymerase II transcription factor, nucleosome remodeling complex
YML032C	RAD52	8.6	Required for X-ray damage repair and various types of intra-and interchromosomal mitotic recombination, including HO switching and plasmid exchange. Dispensable for premeiotic DNA synthesis, double strand breaks, synaptonemal complexes, and heteroduplex formation, but generally required for completion of meiotic recombination. RAD52 controls the level of a 72 kd endo-exonuclease in log phase and sporulation. Interacts with Rad51p by two hybrid analysis. mRNA is induced in meiosis during recombination.
YPL254W	HFI1	8.6	transcription factor, member of Ada Gcn5 protein complex, transcription,SAGA complex
YGL135W	RPL1B	8.6	Ribosomal protein L1B, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YGR180C	RNR4	8.5	Ribonucleotide Reductase, DNA replication, ribonucleoside-diphosphate reductase, nucleus
YKL134C	1	8.5	mitochondrial intermediate peptidase, possesses octapeptidyl amino-peptidase activity, iron homeostasis*, metallopeptidase, mitochondrion
YPR131C	NAT3	8.5	N-terminal acetyltransferase
YOR026W	BUB3	8.5	cell cycle checkpoint protein, mitotic spindle checkpoint, molecular_function unknown, cellular_component unknown
YDL013W	HEX3	8.4	involved in hexose metabolism,molecular_function unknown,
YDR432W	NPL3	8.4	nuclear shuttling protein with an RNA recognition motif
YGR104C	SRB5	8.4	subunit of RNA polymerase II holoenzyme mediator complex, transcription from Pol II promoter, RNA polymerase II transcription mediator, mediator complex
YNL250W	RAD50	8.4	Contains a purine-binding domain, two heptad repeats and a hydrophobic tail., DNA repair,
YLR322W		8.4	biological_process unknown, molecular_function unknown,
YKL009W	MRT4	8.3	involved in mRNA decay,molecular_function unknown,
YLR338W	KRE21	8.3	biological_process unknown, molecular_function unknown,
YFR019W	FAB1	8.3	type II PI(4)P5-kinase (PIP4,5 kinase) similar to human PIP5K-II, vacuole organization and biogenesis, 1-phosphatidylinositol-3-phosphate 5-kinase, vacuolar membrane
YPL188W	POS5	8.3	involved in oxidative stress, biological_process unknown, molecular_function unknown,
YOR001W	RRP6	8.2	involved in 5.8S rRNA processing, 35S primary transcript processing, 3'-5' exoribonuclease, nuclear exosome (RNase complex)
YNL059C	ARP5	8.2	Actin-related protein, biological_process unknown, molecular_function unknown, cell
YDL106C	PHO2	8.2	Homeobox-domain containing transcription fractor which is a positive regulator of PHO5 and other genes.,transcription factor,
YGL167C	PMR1	8.2	Ca++-Pump, ATPase, transport,
YJR063W	RPA12	8.1	A12.2 subunit of RNA polymerase I, transcription from Pol I promoter, DNA-directed RNA polymerase I, DNA-directed RNA polymerase I
YBR267W		8.1	Probable Zn-finger protein (C2H2 type), biological_process unknown, molecular_function unknown,
YNL003C	PET8	8.0	mitochondrial carrier protein family, biological_process unknown, molecular_function unknown, cellular_component unknown
YCR046C	IMG1	8.0	mitochondrial ribosomal protein, protein biosynthesis, structural protein of ribosome, mitochondrial ribosome
YMR228W	MTF1	8.0	Mitochondrial RNA polymerase specificity factor, transcription from mitochondrial promoter, transcription factor, mitochondrial matrix
YOR035C	SHE4	7.8	Required for mother cell-specific HO expression,molecular_function unknown,
YBR112C	CYC8	7.8	Transcription regulatory protein, transcription,
YLR079W	SIC1	7.8	Cdc28p-Clb5 protein kinase inhibitor
YPL106C	SSE1	7.8	HSP70 family member, highly homologous to Ssa1p and Sse2p, protein folding, cochaperone, cytoplasm
YKL118W		7.7	biological_process unknown, molecular_function unknown,
YDL198C	YHM1	7.7	(putative) mitochondrial carrier protein, transport,
YLR423C	APG17	7.7	involved in autophagy, autophagy, molecular_function unknown,
YLR315W		7.7	biological_process unknown, molecular_function unknown,
YDR298C	ATP5	7.7	ATP synthase subunit 5; oligomycin sensitivity-conferring protein, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, stator stalk
YHL011C	PRS3	7.6	ribose-phosphate pyrophosphokinase 3, histidine biosynthesis*, ribose-phosphate pyrophosphokinase, cytoplasm
YEL036C	ANP1	7.6	subunit of mannosyltransferase complex, protein glycosylation,
YHR021C	RPS27B	7.5	40S Ribosomal protein S27B (rp61) (YS20), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YLL027W	ISA1	7.5	Iron Sulfur Assembly -- IscA NifA homolog, iron transport, molecular_function unknown, mitochondrial matrix
YJL062W	LAS21	7.5	putative membrane protein, a member of the major facilitator super family, biological_process unknown,
YML094W	GIM5	7.5	bovine prefoldin subunit 5 homolog (putative), protein folding,
YER087W		7.5	biological_process unknown,cellular_component unknown
YCR044C	PER1	7.5	Protein Processing in the ER,molecular_function unknown,
YPR100W		7.5	biological_process unknown, molecular_function unknown,
YGR160W	FYV13	7.4	biological_process unknown, molecular_function unknown, cellular_component unknown
YJR055W	HIT1	7.3	involved in growth at high temperature, biological_process unknown,
YKL204W	EAP1	7.3	probable purine nucleotide-binding protein, translational regulation, initiation, adenosinetriphosphatase, eukaryotic translation initiation factor 4F complex
YGL076C	RPL7A	7.3	Ribosomal protein L7A (L6A) (rp11) (YL8), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YPL193W	RSA1	7.3	RiboSome Assembly, ribosomal large subunit assembly and maintenance, molecular_function unknown, nucleoplasm
YOR211C	MGM1	7.3	encodes protein with GTP-binding domain related to dynamin, mitochondrion organization and biogenesis*, GTPase, mitochondrial outer membrane
YML115C	VAN1	7.3	mannosyltransferase,mannosyltransferase,
YLR149C		7.2	biological_process unknown, molecular_function unknown,
YLR386W		7.2	biological_process unknown, molecular_function unknown,
YDR115W		7.2	biological_process unknown, molecular_function unknown,
YIL040W		7.2	biological_process unknown, molecular_function unknown,
YBR279W	PAF1	7.2	RNA polymerase II-associated protein, transcription,
YPL234C	TFP3	7.1	vacuolar ATPase V0 domain subunit c' (17 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V0 domain
YNL079C	TPM1	7.1	tropomyosin I, establishment of cell polarity (sensu Saccharomyces)*, actin lateral binding, cytokinetic ring (sensu Saccharomyces)*
YOR241W	MET7	7.1	Folylpolyglutamate synthetase,folylpolyglutamate synthase,
YPL148C	PPT2	7.0	Phosphopantetheine:protein transferase (PPTase), lipid transport,
YGL058W	RAD6	7.0	Ubiquitin conjugating (E2) enzyme. The C-terminal 23 residues are critical for sporulation and histone polyubiquitinating activity, but not UV repair or induced mutagenesis., ubiquitin-dependent protein degradation*, ubiquitin conjugating enzyme, nucleus
YPR135W	CTF4	7.0	DNA polymerase alpha binding protein, DNA repair*, DNA binding, nucleus
YDR332W		7.0	biological_process unknown, molecular_function unknown,
YDR388W	RVS167	7.0	(putative) cytoskeletal protein, endocytosis*, cytoskeletal protein binding protein, actin cortical patch (sensu Saccharomyces)
YER077C		7.0	biological_process unknown, molecular_function unknown,
YMR224C	MRE11	7.0	localizes to discrete sites in rad50s mutants. Mre11p, Rad50p, Mer2p and Xrs2p function in a complex by immunoprecipitation and two-hybrid analyses; mutations in these genes have similar phenotypes. mRNA is induced in meiosis, DNA repair*, endonuclease, nucleus
YNL280C	ERG24	7.0	sterol C-14 reductase, ergosterol biosynthesis, C-14 sterol reductase, endoplasmic reticulum
YDL090C	RAM1	7.0	beta subunit of farnesyltransferase
YML063W	RPS1B	6.9	Ribosomal protein S1B (rp10B), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YLR369W	SSQ1	6.9	mitochondrial hsp70-type molecular chaperone, DNA dependent DNA replication*, chaperone, mitochondrial matrix
YOL095C	HMI1	6.8	mitochondrial DNA helicase (putative), biological_process unknown,
YKL006W	RPL14A	6.8	Ribosomal protein L14A, protein biosynthesis, structural protein of ribosome*, cytosolic large ribosomal (60S)-subunit
YDR369C	XRS2	6.8	DNA repair protein
YOR331C		6.8	biological_process unknown, molecular_function unknown,
YLR318W	EST2	6.8	103 kD basic protein, catalytic subunit of telomerase
YBR126C	TPS1	6.8	56 kD synthase subunit of trehalose-6-phosphate synthase phosphatase complex, stress response*, alpha,alpha-trehalose-phosphate synthase (UDP-forming), alpha,alpha-trehalose-phosphate synthase (UDP-forming)
YER155C	BEM2	6.7	Rho-type GTPase activating protein (GAP), establishment of cell polarity (sensu Saccharomyces)*, signal transducer*, intracellular
YLR148W	PEP3	6.7	vacuolar membrane protein
YDR138W	HPR1	6.7	involved in mitosis, recombination; similar to TOP1 across 2 regions, DNA recombination, molecular_function unknown, nucleus
YMR078C	CTF18	6.7	(putative) involved in chromosome transmission during mitosis,molecular_function unknown,
YFL016C	MDJ1	6.7	DnaJ homolog involved in mitochondrial biogenesis and protein folding, protein folding*, heat shock protein, mitochondrial inner membrane
YHR120W	MSH1	6.7	mutS homolog involved in mitochondrial DNA repair, DNA repair,
YMR158W		6.7	biological_process unknown, molecular_function unknown,
YDR024W	FYV1	6.6	biological_process unknown, molecular_function unknown, cellular_component unknown
YMR091C	NPL6	6.6	involved in nuclear protein targeting,molecular_function unknown,
YGR159C	NSR1	6.6	nuclear localization sequence binding protein, rRNA processing*, RNA binding, nucleolus
YDR195W	REF2	6.6	RNA-binding protein, involved in mRNA processing,molecular_function unknown,
YHR011W	DIA4	6.5	Seryl-tRNA synthetase, pseudohyphal growth*, serine--tRNA ligase, cellular_component unknown
YHR064C	PDR13	6.5	Hsp70 Protein
YBR168W		6.5	biological_process unknown, molecular_function unknown,
YDR241W	BUD26	6.5	BUD site selection, biological_process unknown, molecular_function unknown,
YKL003C	MRP17	6.5	Mitochondrial ribosomal protein MRP17, protein biosynthesis, structural protein of ribosome, mitochondrial small ribosomal-subunit
YKL139W	CTK1	6.5	alpha subunit of the kinase which phosphorylates the RNA polymerase largest subunit CTD (carboxyl-terminal domain), protein phosphorylation*, protein kinase,
YIL009C-A	EST3	6.4	181aa protein - 20.5 kD,molecular_function unknown,
YBR179C	FZO1	6.4	homolog of Drosophila melanogaster fuzzy onions gene; integral protein of the mitochondrial outer membrane which can be isolated as part of a high molecular weight complex, mitochondrion organization and biogenesis, GTPase, mitochondrial outer membrane
YGR105W	VMA21	6.4	vacuolar H+-ATPase assembly protein, vacuolar acidification,
YHR194W		6.4	biological_process unknown, molecular_function unknown,
YDR140W	FYV9	6.3	biological_process unknown, molecular_function unknown, cellular_component unknown
YDR323C	PEP7	6.3	cytosolic and peripheral membrane protein with three zinc fingers; cysteine rich regions of amino acids are essential for function, non-selective vesicle fusion*, vesicle fusion, cytoplasm*
YJL166W	QCR8	6.3	Ubiquinol cytochrome-c reductase subunit 8 (11 kDa protein),ubiquinol-cytochrome-c reductase,
YOL009C	MDM12	6.3	Mdm12p is a mitochondrial outer membrane protein. An Mdm12p homolog exists in S. Pombe which confers a dominant negative phenotype when expressed in S. cerevisiae, mitochondrion inheritance*, molecular_function unknown, mitochondrial outer membrane
YDR293C	SSD1	6.3	cell cycle, RNA binding, cytoplasm
YAL023C	PMT2	6.3	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase, O-linked glycosylation, dolichyl-phosphate-mannose--protein mannosyltransferase, endoplasmic reticulum
YOL033W	MSE1	6.3	Mitochondrial glutamyl-tRNA synthetase,glutamate--tRNA ligase,
YDR028C	REG1	6.3	regulator of phosphatase Glc7p, involved in glucose repression, glycogen metabolism*, protein phosphatase type 1, cytoplasm*
YER122C	GLO3	6.3	Zinc-finger-containing protein with similarity to Gcs1p and Sps18p, ER to Golgi transport*, ARF GTPase activator, secretory vesicle*
YKL143W	LTV1	6.3	low temperature viability protein, stress response, molecular_function unknown, cellular_component unknown
YDL232W	OST4	6.3	3.6-kDa protein, probably membrane-located,dolichyl-diphosphooligosaccharide-protein glycosyltransferase,
YJL102W	MEF2	6.2	mitochondrial elongation factor G-like protein, protein synthesis elongation, translation elongation factor, mitochondrion
YJL029C	VPS53	6.2	Vps53p is a hydrophilic protein that is peripherally associated with the late Golgi and forms a stable complex with Vps52p and Vps54p.,molecular_function unknown,
YER050C	RSM18	6.2	protein of the small subunit of the mitochondrial ribosome
YOL076W	MDM20	6.1	involved in mitochondrial inheritance and actin assembly, cytoskeleton organization and biogenesis*, actin binding, intracellular
YER116C	SLX8	6.1	biological_process unknown, molecular_function unknown,
YLR234W	TOP3	6.1	DNA Topoisomerase III, meiotic recombination*, DNA topoisomerase I,
YJL180C	ATP12	6.1	(putative) involved F1F0-ATPase complex assembly, protein complex assembly, chaperone, mitochondrial matrix
YDL116W	NUP84	6.1	Protein with homology to mammalian Nup107p, mRNA-nucleus export*, structural protein, nuclear pore
YMR188C		6.1	biological_process unknown, molecular_function unknown,
YKL080W	VMA5	6.1	vacuolar ATPase V1 domain subunit C (42 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain
YGR062C	COX18	6.0	required for mitochondrial cytochrome oxidase activity, cytochrome c oxidase biogenesis, molecular_function unknown, mitochondrial membrane
YNL080C		6.0	biological_process unknown, molecular_function unknown,
YMR179W	SPT21	6.0	non-specific DNA binding protein, transcription,
YDR382W	RPP2B	6.0	Ribosomal protein P2B (YP2beta) (L45), protein biosynthesis*, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YDR173C	ARG82	6.0	dual-specificity inositol 1,4,5-trisphosphate 6-kinase inositol 1,4,5,6-tetrakisphosphate 3-kinase (IP3 6- IP4 3-kinase)
YDR114C		6.0	biological_process unknown, molecular_function unknown,
YOL023W	IFM1	6.0	mitochondrial initiation factor 2, protein synthesis initiation, translation initiation factor, mitochondrion
YJR032W	CPR7	6.0	peptidyl-prolyl cis trans isomerase, biological_process unknown, peptidylprolyl isomerase, cytoplasm
YHR034C		6.0	biological_process unknown, molecular_function unknown,
YDL044C	MTF2	5.9	involved in mRNA splicing, mRNA processing, RNA binding, mitochondrion
YLR425W	TUS1	5.9	1307 AA, hydrophilic protein., biological_process unknown, molecular_function unknown,
YLR371W	ROM2	5.9	GDP-GTP Exchange Protein (GEP) for Rho1p, establishment of cell polarity (sensu Saccharomyces)*, signal transducer*, bud tip
YNL147W	LSM7	5.9	Sm-like protein
YGR171C	MSM1	5.9	mitochondrial methionyl-tRNA synthetase,methionine--tRNA ligase,
YLR226W	BUR2	5.9	involved in transcriptional regulation, mitotic chromosome segregation, molecular_function unknown, cellular_component unknown
YMR064W	AEP1	5.9	basic, hydrophilic protein of 59 kDa, protein biosynthesis, molecular_function unknown, cellular_component unknown
YLL002W	REM50	5.9	diepoxybutane and mitomycin C resistance,molecular_function unknown,
YPR132W	RPS23B	5.9	Ribosomal protein S23B (S28B) (rp37) (YS14), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YPR036W	VMA13	5.9	vacuolar ATPase V1 domain subunit H (54 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain
YML112W	CTK3	5.8	CTD kinase-I gamma subunit, protein phosphorylation*, molecular_function unknown,
YNL296W	KRE25	5.8	biological_process unknown, molecular_function unknown,
YJL127C	SPT10	5.8	negative transcriptional regulator, chromatin modeling*, molecular_function unknown, nucleus
YLR358C		5.8	biological_process unknown, molecular_function unknown,
