Gene	Orf	Spo1	Spo2	oligo	microarray	Biological Process	Molecular Function	Cellular Component
HOC1	YJR075W	0.686531	0.767901	SK1	 	cell wall mannoprotein biosynthesis*	alpha-1,6-mannosyltransferase	mannosyltransferase complex
sod1	YJR104C	0.675208	0.791484	W303	 	not yet annotated	superoxide dismutase	not yet annotated
YLR065C	YLR065C	0.716355	0.648756	SK1	 	biological_process unknown	molecular_function unknown	not yet annotated
LEE1	YPL054W	0.610159	0.64926	Both	 	biological_process unknown	molecular_function unknown	not yet annotated
KTR6	YPL053C	0.744951	0.790398	W303	 	cell wall organization and biogenesis*	mannosylphosphate transferase	membrane fraction
DIG1	YPL049C	0.721294	0.762144	SK1	 	invasive growth	not yet annotated	not yet annotated
HTM1	YHR204W	0.514258	0.520815	 	 	not yet annotated	not yet annotated	not yet annotated
YHR207C	YHR207C	0.78286	0.766094	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YAF9	YNL107W	0.738041	0.602073	 	 	biological_process unknown	molecular_function unknown	not yet annotated
PHO23	YNL097C	0.51154	0.749447	 	 	not yet annotated	not yet annotated	not yet annotated
YBL006C	YBL006C	0.665889	0.578875	 	 	biological_process unknown	molecular_function unknown	not yet annotated
APL3	YBL037W	0.710253	0.751775	 	 	not yet annotated	not yet annotated	not yet annotated
HHF1	YBR009C	0.593592	0.623975	W303	 	not yet annotated	not yet annotated	nucleosome
BAP2	YBR068C	0.7004	0.789912	 	 	transport	not yet annotated	not yet annotated
YBR077C	YBR077C	0.721992	0.758386	SK1	 	biological_process unknown	molecular_function unknown	not yet annotated
ECM33	YBR078W	0.440439	0.621354	SK1	repressed	not yet annotated	molecular_function unknown	not yet annotated
SIF2	YBR103W	0.570212	0.791198	Both	 	not yet annotated	molecular_function unknown	not yet annotated
YBR134W	YBR134W	0.590671	0.762658	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YBR168W	YBR168W	0.675783	0.545094	SK1	induced	biological_process unknown	molecular_function unknown	not yet annotated
NGR1	YBR212W	0.65332	0.71543	 	 	biological_process unknown	not yet annotated	not yet annotated
aor1	YBR231C	0.60623	0.663273	Both	induced	not yet annotated	molecular_function unknown	not yet annotated
YCL016C	YCL016C	0.680049	0.615834	 	 	biological_process unknown	molecular_function unknown	not yet annotated
ste50	YCL032W	0.701976	0.76607	 	 	not yet annotated	not yet annotated	not yet annotated
YCR017C	YCR017C	0.644935	0.720619	 	 	biological_process unknown	molecular_function unknown	not yet annotated
GPR1	YDL035C	0.722907	0.787432	 	 	pseudohyphal growth*	G-protein coupled receptor	plasma membrane
IDP1	YDL066W	0.769442	0.70347	Both	 	glutamate biosynthesis*	isocitrate dehydrogenase (NADP+)	mitochondrion
pph21	YDL134C	0.674537	0.73045	SK1	 	protein biosynthesis*	protein phosphatase type 2A	protein phosphatase type 2A
YGL140C	YGL140C	0.784115	0.708561	 	 	biological_process unknown	not yet annotated	not yet annotated
rad54	YGL163C	0.734712	0.679534	 	induced	DNA repair	not yet annotated	not yet annotated
HOS2	YGL194C	0.707778	0.756653	 	 	establishment and/or maintenance of chromatin architecture*	histone deacetylase	histone deacetylase complex
rme1	YGR044C	0.798103	0.739887	W303	 	meiosis	transcription factor	not yet annotated
RSC1	YGR056W	0.743299	0.730619	 	 	chromatin modeling	molecular_function unknown	nucleosome remodeling complex
UFD4	YKL010C	0.751726	0.771757	 	 	polyubiquitylation*	ubiquitin--protein ligase	cellular_component unknown
PAN3	YKL025C	0.791322	0.797697	 	 	not yet annotated	poly(A)-specific ribonuclease	not yet annotated
ELM1	YKL048C	0.670628	0.687315	 	 	protein amino acid phosphorylation*	protein kinase	cytokinetic ring (sensu Saccharomyces)
HSL1	YKL101W	0.769433	0.718091	W303	 	protein amino acid phosphorylation*	protein kinase	septin ring
YKR029C	YKR029C	0.586758	0.563549	 	 	biological_process unknown	molecular_function unknown	not yet annotated
EST2	YLR318W	0.61655	0.509909	 	 	not yet annotated	not yet annotated	not yet annotated
VID22	YLR373C	0.660965	0.491802	SK1	 	not yet annotated	molecular_function unknown	not yet annotated
YML076C	YML076C	0.767443	0.754841	 	 	biological_process unknown	molecular_function unknown	not yet annotated
CLB2	YPR119W	0.655106	0.693702	 	 	G2/M transition of mitotic cell cycle*	G2/M-specific cyclin	cellular_component unknown
sir1	YKR101W	0.635099	0.744446	 	induced	chromatin silencing at HML and HMR (sensu Saccharomyces)*	not yet annotated	chromatin silencing complex
